ENSG00000125910.5|S1PR4	ENSG00000125910.5	S1PR4
ENSG00000126010.5|GRPR	ENSG00000126010.5	GRPR
ENSG00000126231.13|PROZ	ENSG00000126231.13	PROZ
ENSG00000126467.10|TSKS	ENSG00000126467.10	TSKS
ENSG00000126733.20|DACH2	ENSG00000126733.20	DACH2
ENSG00000126752.7|SSX1	ENSG00000126752.7	SSX1
ENSG00000126778.8|SIX1	ENSG00000126778.8	SIX1
ENSG00000126838.9|PZP	ENSG00000126838.9	PZP
ENSG00000126856.13|PRDM7	ENSG00000126856.13	PRDM7
ENSG00000126952.16|NXF5	ENSG00000126952.16	NXF5
ENSG00000127074.14|RGS13	ENSG00000127074.14	RGS13
ENSG00000127129.9|EDN2	ENSG00000127129.9	EDN2
ENSG00000127863.15|TNFRSF19	ENSG00000127863.15	TNFRSF19
ENSG00000127954.12|STEAP4	ENSG00000127954.12	STEAP4
ENSG00000128266.8|GNAZ	ENSG00000128266.8	GNAZ
ENSG00000128298.16|BAIAP2L2	ENSG00000128298.16	BAIAP2L2
ENSG00000128408.8|RIBC2	ENSG00000128408.8	RIBC2
ENSG00000128422.15|KRT17	ENSG00000128422.15	KRT17
ENSG00000128438.10|TBC1D27	ENSG00000128438.10	TBC1D27
ENSG00000128573.24|FOXP2	ENSG00000128573.24	FOXP2
ENSG00000128591.15|FLNC	ENSG00000128591.15	FLNC
ENSG00000128645.14|HOXD1	ENSG00000128645.14	HOXD1
ENSG00000128683.13|GAD1	ENSG00000128683.13	GAD1
ENSG00000128709.12|HOXD9	ENSG00000128709.12	HOXD9
ENSG00000128710.5|HOXD10	ENSG00000128710.5	HOXD10
ENSG00000129009.12|ISLR	ENSG00000129009.12	ISLR
ENSG00000129151.8|BBOX1	ENSG00000129151.8	BBOX1
ENSG00000129195.15|FAM64A	ENSG00000129195.15	FAM64A
ENSG00000129214.14|SHBG	ENSG00000129214.14	SHBG
ENSG00000129965.13|INS-IGF2	ENSG00000129965.13	INS-IGF2
ENSG00000130054.4|FAM155B	ENSG00000130054.4	FAM155B
ENSG00000130173.13|ANGPTL8	ENSG00000130173.13	ANGPTL8
ENSG00000130234.10|ACE2	ENSG00000130234.10	ACE2
ENSG00000130287.13|NCAN	ENSG00000130287.13	NCAN
ENSG00000130294.15|KIF1A	ENSG00000130294.15	KIF1A
ENSG00000130383.7|FUT5	ENSG00000130383.7	FUT5
ENSG00000130427.2|EPO	ENSG00000130427.2	EPO
ENSG00000130558.19|OLFM1	ENSG00000130558.19	OLFM1
ENSG00000130595.17|TNNT3	ENSG00000130595.17	TNNT3
ENSG00000130600.17|H19	ENSG00000130600.17	H19
