ENSG00000100079.6|LGALS2	ENSG00000100079.6	LGALS2
ENSG00000100095.18|SEZ6L	ENSG00000100095.18	SEZ6L
ENSG00000100101.15|RP1-37E16.12	ENSG00000100101.15	RP1-37E16.12
ENSG00000100116.16|GCAT	ENSG00000100116.16	GCAT
ENSG00000100162.14|CENPM	ENSG00000100162.14	CENPM
ENSG00000100167.19|SEPT3	ENSG00000100167.19	SEPT3
ENSG00000100170.9|SLC5A1	ENSG00000100170.9	SLC5A1
ENSG00000100197.20|CYP2D6	ENSG00000100197.20	CYP2D6
ENSG00000100218.11|RSPH14	ENSG00000100218.11	RSPH14
ENSG00000100253.12|MIOX	ENSG00000100253.12	MIOX
ENSG00000100312.10|ACR	ENSG00000100312.10	ACR
ENSG00000100321.14|SYNGR1	ENSG00000100321.14	SYNGR1
ENSG00000100351.16|GRAP2	ENSG00000100351.16	GRAP2
ENSG00000100368.13|CSF2RB	ENSG00000100368.13	CSF2RB
ENSG00000100379.17|KCTD17	ENSG00000100379.17	KCTD17
ENSG00000100385.13|IL2RB	ENSG00000100385.13	IL2RB
ENSG00000100427.15|MLC1	ENSG00000100427.15	MLC1
ENSG00000100448.3|CTSG	ENSG00000100448.3	CTSG
ENSG00000100473.15|COCH	ENSG00000100473.15	COCH
ENSG00000100479.12|POLE2	ENSG00000100479.12	POLE2
ENSG00000100526.19|CDKN3	ENSG00000100526.19	CDKN3
ENSG00000100557.9|C14orf105	ENSG00000100557.9	C14orf105
ENSG00000100558.8|PLEK2	ENSG00000100558.8	PLEK2
ENSG00000100625.8|SIX4	ENSG00000100625.8	SIX4
ENSG00000100628.11|ASB2	ENSG00000100628.11	ASB2
ENSG00000100652.4|SLC10A1	ENSG00000100652.4	SLC10A1
ENSG00000100665.11|SERPINA4	ENSG00000100665.11	SERPINA4
ENSG00000100721.10|TCL1A	ENSG00000100721.10	TCL1A
ENSG00000100739.10|BDKRB1	ENSG00000100739.10	BDKRB1
ENSG00000100842.12|EFS	ENSG00000100842.12	EFS
ENSG00000100889.11|PCK2	ENSG00000100889.11	PCK2
ENSG00000100985.7|MMP9	ENSG00000100985.7	MMP9
ENSG00000100987.14|VSX1	ENSG00000100987.14	VSX1
ENSG00000101003.9|GINS1	ENSG00000101003.9	GINS1
ENSG00000101057.15|MYBL2	ENSG00000101057.15	MYBL2
ENSG00000101134.11|DOK5	ENSG00000101134.11	DOK5
ENSG00000101187.15|SLCO4A1	ENSG00000101187.15	SLCO4A1
ENSG00000101188.4|NTSR1	ENSG00000101188.4	NTSR1
ENSG00000101197.12|BIRC7	ENSG00000101197.12	BIRC7
ENSG00000101203.16|COL20A1	ENSG00000101203.16	COL20A1
ENSG00000101204.16|CHRNA4	ENSG00000101204.16	CHRNA4
ENSG00000101210.10|EEF1A2	ENSG00000101210.10	EEF1A2
ENSG00000101276.14|SLC52A3	ENSG00000101276.14	SLC52A3
ENSG00000101282.8|RSPO4	ENSG00000101282.8	RSPO4
ENSG00000101311.15|FERMT1	ENSG00000101311.15	FERMT1
ENSG00000101323.4|HAO1	ENSG00000101323.4	HAO1
ENSG00000101412.12|E2F1	ENSG00000101412.12	E2F1
ENSG00000101443.17|WFDC2	ENSG00000101443.17	WFDC2
ENSG00000101445.9|PPP1R16B	ENSG00000101445.9	PPP1R16B
ENSG00000101605.12|MYOM1	ENSG00000101605.12	MYOM1
ENSG00000101670.11|LIPG	ENSG00000101670.11	LIPG
ENSG00000101680.14|LAMA1	ENSG00000101680.14	LAMA1
ENSG00000101825.7|MXRA5	ENSG00000101825.7	MXRA5
ENSG00000101842.13|VSIG1	ENSG00000101842.13	VSIG1
ENSG00000101938.14|CHRDL1	ENSG00000101938.14	CHRDL1
ENSG00000101955.14|SRPX	ENSG00000101955.14	SRPX
ENSG00000101981.10|F9	ENSG00000101981.10	F9
ENSG00000102174.8|PHEX	ENSG00000102174.8	PHEX
ENSG00000102239.4|BRS3	ENSG00000102239.4	BRS3
ENSG00000102245.7|CD40LG	ENSG00000102245.7	CD40LG
ENSG00000102287.18|GABRE	ENSG00000102287.18	GABRE
ENSG00000102313.8|ITIH6	ENSG00000102313.8	ITIH6
ENSG00000102385.12|DRP2	ENSG00000102385.12	DRP2
ENSG00000102387.15|TAF7L	ENSG00000102387.15	TAF7L
ENSG00000102401.19|ARMCX3	ENSG00000102401.19	ARMCX3
ENSG00000102452.15|NALCN	ENSG00000102452.15	NALCN
ENSG00000102468.10|HTR2A	ENSG00000102468.10	HTR2A
ENSG00000102743.14|SLC25A15	ENSG00000102743.14	SLC25A15
ENSG00000102879.15|CORO1A	ENSG00000102879.15	CORO1A
ENSG00000102962.4|CCL22	ENSG00000102962.4	CCL22
ENSG00000103154.9|NECAB2	ENSG00000103154.9	NECAB2
ENSG00000103175.10|WFDC1	ENSG00000103175.10	WFDC1
ENSG00000103187.7|COTL1	ENSG00000103187.7	COTL1
ENSG00000103196.11|CRISPLD2	ENSG00000103196.11	CRISPLD2
ENSG00000103241.6|FOXF1	ENSG00000103241.6	FOXF1
ENSG00000103316.10|CRYM	ENSG00000103316.10	CRYM
ENSG00000103522.15|IL21R	ENSG00000103522.15	IL21R
ENSG00000103569.9|AQP9	ENSG00000103569.9	AQP9
ENSG00000103742.11|IGDCC4	ENSG00000103742.11	IGDCC4
ENSG00000103942.12|HOMER2	ENSG00000103942.12	HOMER2
ENSG00000104059.4|FAM189A1	ENSG00000104059.4	FAM189A1
ENSG00000104147.8|OIP5	ENSG00000104147.8	OIP5
ENSG00000104332.11|SFRP1	ENSG00000104332.11	SFRP1
ENSG00000104369.4|JPH1	ENSG00000104369.4	JPH1
ENSG00000104371.4|DKK4	ENSG00000104371.4	DKK4
ENSG00000104537.16|ANXA13	ENSG00000104537.16	ANXA13
ENSG00000104723.20|TUSC3	ENSG00000104723.20	TUSC3
ENSG00000104760.16|FGL1	ENSG00000104760.16	FGL1
ENSG00000104814.12|MAP4K1	ENSG00000104814.12	MAP4K1
ENSG00000104899.7|AMH	ENSG00000104899.7	AMH
ENSG00000104901.6|DKKL1	ENSG00000104901.6	DKKL1
ENSG00000104921.14|FCER2	ENSG00000104921.14	FCER2
ENSG00000104938.16|CLEC4M	ENSG00000104938.16	CLEC4M
ENSG00000104970.10|KIR3DX1	ENSG00000104970.10	KIR3DX1
ENSG00000105011.8|ASF1B	ENSG00000105011.8	ASF1B
ENSG00000105048.16|TNNT1	ENSG00000105048.16	TNNT1
ENSG00000105122.12|RASAL3	ENSG00000105122.12	RASAL3
ENSG00000105251.10|SHD	ENSG00000105251.10	SHD
ENSG00000105255.10|FSD1	ENSG00000105255.10	FSD1
ENSG00000105289.14|TJP3	ENSG00000105289.14	TJP3
ENSG00000105290.11|APLP1	ENSG00000105290.11	APLP1
ENSG00000105366.15|SIGLEC8	ENSG00000105366.15	SIGLEC8
ENSG00000105369.9|CD79A	ENSG00000105369.9	CD79A
ENSG00000105374.9|NKG7	ENSG00000105374.9	NKG7
ENSG00000105392.15|CRX	ENSG00000105392.15	CRX
ENSG00000105398.3|SULT2A1	ENSG00000105398.3	SULT2A1
ENSG00000105409.16|ATP1A3	ENSG00000105409.16	ATP1A3
ENSG00000105426.16|PTPRS	ENSG00000105426.16	PTPRS
ENSG00000105492.15|SIGLEC6	ENSG00000105492.15	SIGLEC6
ENSG00000105501.12|SIGLEC5	ENSG00000105501.12	SIGLEC5
